httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
1.638149s,H2C,64.233.173.99,POST,1226,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13bea8000b7f0e8eb6aa2f,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:48.811257804Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,c3f7551223b51b93,"'2026-05-25T03:14:47.111055Z","'projects/mempan-cac51/traces/5d140f9b35c5e6ce5b1d771f56108548",true
1.686374s,H2C,64.233.173.170,POST,1202,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13bea6000bf9afb14ad192,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:46.811097996Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,6ec4d00a88ac4e31,"'2026-05-25T03:14:45.093559Z","'projects/mempan-cac51/traces/60bfa53aed571e8df3e53d0fb6b10fcd",
0.956663s,H2C,64.233.173.225,POST,1245,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.79.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13bea40006e5ea8be75a12,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:44.482661495Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,18c8b2b56e3bebaf,"'2026-05-25T03:14:43.490902Z","'projects/mempan-cac51/traces/ef95aa42b6a38c4ff30012918ff73fda",
1.672681s,H2C,64.233.173.233,POST,1254,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.79.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13bea4000ede213d6ad15d,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:45.149114873Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,b633648e07cfdcb8,"'2026-05-25T03:14:43.293358Z","'projects/mempan-cac51/traces/8d82dc2ca3049eacb6624e71fcbf1b29",
0.952933s,H2C,192.178.8.96,POST,1246,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13bea30005365c322a3d99,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:43.481551912Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,3aed48d2a9d8a6da,"'2026-05-25T03:14:42.381882Z","'projects/mempan-cac51/traces/8a0ee3a1dd545b0886b789283a56447b",
0.947982s,H2C,64.233.173.133,POST,1254,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13bea200082b041e94d5b2,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:42.816424488Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,6bdef6c6ece41f56,"'2026-05-25T03:14:41.583746Z","'projects/mempan-cac51/traces/2d2d31ff356ce11eb55a065bf027ef3a",
0.948490s,H2C,192.178.8.64,POST,1225,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.73.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13bea0000f05d8e91b9626,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:41.153397640Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,72131c6ce804774c,"'2026-05-25T03:14:40.029365Z","'projects/mempan-cac51/traces/d49b395b4a94fb7f0d41a6900ffff07a",
1.706439s,H2C,192.178.8.105,POST,1201,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.75.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be9f000ad50f740be75a,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:39.816378358Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,0737ae5e2bea0f9b,"'2026-05-25T03:14:37.999464Z","'projects/mempan-cac51/traces/be6bae224fb7dc294c834f9ba777e43e",
2.103875s,H2C,64.233.173.230,POST,1246,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be9e00099eebe29b2b85,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:38.813827325Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,4b01b4d9589db65e,"'2026-05-25T03:14:36.521881Z","'projects/mempan-cac51/traces/60252a74b0b89f6212ec73909d1e1465",
1.415044s,H2C,192.178.8.64,POST,1246,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.73.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be9d0006ece17e2196b6,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:37.479240500Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,3707605fc60f180b,"'2026-05-25T03:14:36.034630Z","'projects/mempan-cac51/traces/f36dcae66f5529300d41a6900ffffaf1",true
